全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
131181,131181C00067,荒川区,西尾久四丁目北公園トイレ,ニシオクヨンチョウメキタコウエントイレ,,131181,,東京都荒川区西尾久4-12-6,東京都,荒川区,西尾久4丁目,12-6,,JR「尾久」 徒歩10分;東京さくらトラム（都電荒川線）「小台」 徒歩8分,35.745721,139.760500,,,2,2,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
131181,131181C00068,荒川区,東尾久一丁目児童遊園トイレ,ヒガシオグイッチョウメジドウユウエントイレ,,131181,,東京都荒川区東尾久1-24-21,東京都,荒川区,東尾久1丁目,24-21,,日暮里舎人ライナー「赤土小学校前」 徒歩6分,35.739854,139.770873,,,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00069,荒川区,東尾久上児童遊園トイレ,ヒガシオグカミジドウユウエントイレ,,131181,,東京都荒川区東尾久4-24-10,東京都,荒川区,東尾久4丁目,24-10,,日暮里舎人ライナー「赤土小学校前」 徒歩2分,35.741867,139.766695,,,1,1,0,0,0,0,0,2,1,1,0,無,無,無,,,,,,
131181,131181C00070,荒川区,尾久第三児童遊園トイレ,オクダイサンジドウユウエントイレ,,131181,,東京都荒川区東尾久6-5-10,東京都,荒川区,東尾久6丁目,5-10,,東京さくらトラム（都電荒川線）「東尾久三丁目」 徒歩1分,35.745618,139.774759,,,1,1,0,0,0,0,0,1,0,1,0,無,有,無,,,,,,
131181,131181C00071,荒川区,尾久橋公衆トイレ,オグバシコウシュウトイレ,,131181,,東京都荒川区東尾久8-7-11,東京都,荒川区,東尾久8丁目,7-11,,東京さくらトラム（都電荒川線）「熊野前駅」 徒歩6分;日暮里舎人ライナー「西日暮里駅」 徒歩8分,35.751769,139.770148,,,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00072,荒川区,東尾久五丁目南児童遊園トイレ,ヒガシオクゴチョウメミナミジドウユウエントイレ,,131181,,東京都荒川区東尾久5-28-3,東京都,荒川区,東尾久5丁目,28-3,,日暮里舎人ライナー「赤土小学校前」 徒歩5分,35.745410,139.766747,,,2,2,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
131181,131181C00073,荒川区,尾久第一児童遊園トイレ,オグダイイチジドウユウエントイレ,,131181,,東京都荒川区東尾久4-45-3,東京都,荒川区,東尾久4丁目,45-3,,日暮里舎人ライナー「赤土小学校前」 徒歩2分,35.743816,139.766049,,,1,1,0,0,0,0,0,1,0,1,0,無,有,無,,,,,,
131181,131181C00074,荒川区,西尾久八丁目児童遊園トイレ,ニシオグハチチョウメジドウユウエントイレ,,131181,,東京都荒川区西尾久8-12-8,東京都,荒川区,西尾久8丁目,12-8,,都電荒川線「荒川車庫前」 徒歩3分,35.752349,139.754798,,,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00075,荒川区,尾久第四児童遊園トイレ,オグダイヨンジドウユウエントイレ,,131181,,東京都荒川区東尾久6-21-2,東京都,荒川区,東尾久6丁目,21-2,,東京さくらトラム（都電荒川線）「東尾久三丁目」 徒歩5分,35.747779,139.774954,,,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00076,荒川区,尾久八幡公園トイレ,オグハチマンコウエントイレ,,131181,,東京都荒川区西尾久3-6-4,東京都,荒川区,西尾久3丁目,6-4,,東京さくらトラム（都電荒川線）「宮ノ前」 徒歩1分,35.750844,139.764910,,,2,2,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
131181,131181C00077,荒川区,西尾久一丁目児童遊園トイレ,ニシオグイッチョウメジドウユウエントイレ,,131181,,東京都荒川区西尾久1-26-7,東京都,荒川区,西尾久1丁目,26-7,,東京さくらトラム（都電荒川線）「小台」 徒歩7分,35.745713,139.761737,,,1,1,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
131181,131181C00078,荒川区,熊野前公園トイレ,クマノマエコウエントイレ,,131181,,東京都荒川区東尾久8-1-1,東京都,荒川区,東尾久8丁目,1-1,,日暮里舎人ライナー、東京さくらトラム（都電荒川線）「熊野前」 徒歩3分,35.749547,139.771457,,,3,2,0,1,2,0,2,0,0,0,0,無,有,無,,,,,,
131181,131181C00079,荒川区,尾久小公園トイレ,オグショウコウエントイレ,,131181,,東京都荒川区東尾久6-42-6,東京都,荒川区,東尾久6丁目,42-6,,日暮里舎人ライナー、東京さくらトラム（都電荒川線）「熊野前」 徒歩10分,35.748615,139.772305,,,2,2,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
131181,131181C00080,荒川区,西尾久七丁目児童遊園トイレ,ニシオグナナチョウメジドウユウエントイレ,,131181,,東京都荒川区西尾久7-16-9,東京都,荒川区,西尾久7丁目,16-9,,東京さくらトラム（都電荒川線）「荒川遊園地前」徒歩3分,35.749348,139.756275,,,1,1,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
131181,131181C00081,荒川区,宮前公園（一期）トイレ,ミヤマエコウエン（イチキ）トイレ,,131181,,東京都荒川区東尾久8-45-22,東京都,荒川区,東尾久8丁目,45-22,,都電荒川線「宮ノ前」 徒歩5分,35.751154,139.766286,,,3,2,0,1,2,0,2,0,0,0,1,有,有,有,,,,,,
131181,131181C00082,荒川区,宮前公園（二期）トイレ,ミヤマエコウエン（ニキ）トイレ,,131181,,東京都荒川区東尾久8-45-22,東京都,荒川区,東尾久8丁目,45-22,,都電荒川線「宮ノ前」 徒歩5分,35.751154,139.766286,,,3,2,0,1,2,0,2,0,0,0,1,有,有,有,,,,,,
131181,131181C00083,荒川区,荒川四丁目公園トイレ,アラカワヨンチョウメコウエントイレ,,131181,,東京都荒川区荒川4丁目19-1,東京都,荒川区,荒川4丁目,19-1,,京成線「町屋駅」徒歩8分,35.73734606,139.7809521,,,2,1,0,1,1,0,1,0,0,0,1,有,有,有,,,,,,R7.4頃使用開始
131181,131181C00084,荒川区,若宮八幡児童遊園トイレ,ワカミヤハチマンジドウユウエントイレ,,131181,,東京都荒川区南千住6丁目35-7,東京都,荒川区,南千住6丁目,35-7,,東京さくらトラム（都電荒川線）「荒川一中前」徒歩10分,35.73848456,139.7919132,,,1,1,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
